prod_lait_Tr,prod_lait_Fr,monthsnbMois
320,108,August
320,115,September
306,112,October
279,114,November
259,108,December
248,118,January
248,111,February
248,110,March
299,114,April
299,110,May
299,108,June
450,116,July
320,112,August
320,109,September
306,110,October
287,106,November
258,111,December
250,114,January
250,112,February
250,111,March
302,116,April
302,107,May
302,117,June
338,113,July
231,116,August
231,116,September
217,110,October
209,116,November
178,112,December
164,109,January
164,113,February
164,112,March
169,113,April
169,111,May
169,113,June
338,115,July
231,106,August
231,115,September
217,111,October
216,112,November
184,110,December
170,110,January
170,112,February
170,110,March
180,116,April
180,111,May
180,104,June
450,112,July
320,111,August
320,108,September
306,115,October
276,110,November
247,108,December
239,117,January
239,106,February
239,114,March
281,113,April
281,112,May
281,113,June
338,115,July
231,113,August
231,115,September
217,108,October
213,113,November
179,110,December
168,110,January
168,116,February
168,117,March
176,115,April
176,113,May
176,118,June
450,105,July
124,72,August
124,132,September
120,87,October
115,72,November
114,117,December
114,102,January
114,147,February
114,147,March
107,117,April
107,102,May
107,117,June
177,117,July
164,102,August
164,72,September
160,87,October
151,117,November
142,117,December
137,117,January
137,147,February
137,132,March
119,147,April
119,132,May
119,102,June
165,102,July
154,72,August
154,102,September
150,117,October
144,147,November
139,132,December
136,102,January
136,132,February
136,72,March
131,72,April
131,117,May
131,72,June
165,102,July
154,87,August
154,117,September
150,102,October
144,102,November
139,117,December
137,132,January
137,117,February
137,147,March
133,132,April
133,87,May
133,102,June
177,147,July
164,87,August
164,147,September
160,87,October
147,132,November
137,132,December
134,102,January
134,87,February
134,87,March
114,87,April
114,117,May
114,87,June
165,132,July
154,102,August
154,132,September
150,117,October
145,147,November
137,147,December
133,132,January
133,102,February
133,102,March
126,147,April
126,117,May
126,147,August
126,102,September
122,147,October
115,147,November
114,147,December
114,132,January
114,102,February
114,102,March
104,147,April
104,117,May
104,102,June
166,72,July
162,147,August
162,117,September
158,72,October
154,87,November
149,147,December
145,147,January
145,132,February
145,87,March
133,117,April
133,87,May
133,102,June
166,117,July
162,87,August
162,132,September
158,117,October
156,72,November
150,132,December
147,87,January
147,87,February
147,102,March
136,102,April
136,72,May
136,117,June
166,72,July
162,87,August
162,72,September
158,72,October
154,132,November
149,147,December
145,147,January
145,147,February
145,132,March
132,147,April
132,117,May
132,102,June
166,147,July
162,72,August
162,117,September
158,132,October
154,147,November
147,132,December
145,102,January
145,147,February
145,147,March
133,72,April
133,87,May
133,72,June
166,102,July
162,147,August
162,132,September
158,87,October
153,87,November
147,147,December
144,72,January
144,132,February
144,72,March
129,132,April
129,72,May
129,87,June
166,132,July
162,72,August
162,87,September
158,132,October
154,87,November
146,147,December
144,132,January
144,87,February
144,102,March
129,72,April
129,117,May
129,102,June
166,87,July
162,117,August
162,87,September
158,87,October
154,132,November
148,87,December
147,87,January
147,87,February
147,132,March
135,87,April
135,72,May
135,117,June
166,102,July
162,87,August
162,87,September
158,132,October
154,87,November
147,72,December
145,147,January
145,117,February
145,87,March
132,72,April
132,72,May
132,102,June
166,102,July
162,102,August
162,117,September
158,117,October
153,147,November
146,87,December
143,132,January
143,87,February
143,132,March
128,87,April
128,72,May
128,117,June
166,117,July
73,103,August
73,102,September
69,109,October
65,113,November
64,108,December
64,109,January
64,110,February
64,100,March
56,118,April
56,106,May
56,113,June
118,108,July
110,117,August
110,108,September
106,111,October
103,100,November
96,111,December
93,109,January
93,109,February
93,113,March
83,114,April
83,106,May
83,102,June
118,101,July
110,108,August
110,114,September
106,111,October
101,114,November
93,101,December
89,112,January
89,105,February
89,109,March
76,113,April
76,108,May
76,110,June
135,111,July
120,100,August
120,110,September
116,113,October
104,103,November
95,107,December
89,105,January
89,103,February
89,109,March
76,113,April
76,108,May
76,106,June
118,107,July
110,121,August
110,111,September
106,106,October
100,97,November
94,103,December
91,107,January
91,116,February
91,108,March
78,108,April
78,107,May
78,119,June
118,108,July
110,116,August
110,107,September
106,108,October
102,107,November
94,106,December
92,100,January
92,107,February
92,113,March
81,104,April
81,104,May
81,113,June
118,106,July
110,98,August
110,106,September
106,100,October
103,97,November
96,116,December
93,115,January
93,110,February
93,113,March
84,103,April
84,106,May
84,115,June
135,113,July
120,105,August
120,116,September
116,110,October
106,112,November
94,109,December
88,108,January
88,106,February
88,106,March
72,110,April
72,104,May
72,120,June
118,108,July
110,106,August
110,102,September
106,107,October
103,105,November
97,106,December
94,114,January
94,113,February
94,111,March
86,106,April
86,122,May
86,111,June
118,119,July
110,109,August
110,105,September
106,111,October
102,104,November
97,118,December
90,109,January
90,106,February
90,113,March
75,108,April
75,100,May
75,105,June
135,104,July
42,120,August
42,109,September
38,112,October
33,113,November
33,107,December
33,113,January
33,106,February
33,108,March
29,106,April
29,103,May
29,116,June
102,108,July
85,108,August
85,113,September
80,111,October
78,115,November
70,102,December
67,110,January
67,103,February
67,111,March
62,104,April
62,104,May
62,107,June
102,106,July
85,106,August
85,114,September
80,104,October
78,104,November
70,113,December
67,113,January
67,117,February
67,105,March
61,105,April
61,94,May
61,112,June
121,100,July
103,114,August
103,107,September
98,111,October
86,115,November
76,106,December
71,114,January
71,110,February
71,99,March
52,116,April
52,105,May
52,108,June
102,110,July
85,106,August
85,103,September
80,107,October
78,107,November
70,115,December
66,114,January
66,99,February
66,113,March
60,107,April
60,109,May
60,112,June
102,116,July
85,108,August
85,111,September
80,106,October
77,110,November
70,115,December
66,106,January
66,111,February
66,110,March
59,105,April
59,111,May
59,111,June
102,112,July
85,116,August
85,110,September
80,117,October
77,112,November
69,111,December
65,101,January
65,117,February
65,101,March
58,118,April
58,104,May
58,100,June
102,113,July
85,114,August
85,111,September
80,103,October
78,111,November
70,110,December
67,114,January
67,116,February
67,110,March
61,114,April
61,109,May
61,104,June
121,105,July
103,104,August
103,115,September
98,112,October
87,114,November
77,114,December
70,110,January
70,110,February
70,114,March
52,118,April
52,114,May
52,110,June
102,112,July
85,111,August
85,110,September
80,110,October
78,106,November
70,105,December
68,109,January
68,110,February
68,109,March
63,115,April
63,106,May
63,114,June
102,108,July
36,117,August
36,111,September
32,103,October
28,111,November
28,107,December
28,113,January
28,105,February
28,110,March
25,107,April
25,108,May
25,106,June
97,104,July
78,102,August
78,118,September
74,115,October
71,112,November
64,110,December
61,115,January
61,108,February
61,108,March
55,118,April
55,107,May
55,115,June
113,112,July
97,118,August
97,116,September
93,102,October
82,111,November
73,109,December
68,107,January
68,119,February
68,111,March
51,105,April
51,106,May
51,106,June
97,106,July
78,104,August
78,115,September
74,119,October
73,105,November
64,109,December
60,112,January
60,108,February
60,110,March
54,101,April
54,102,May
54,104,June
97,112,July
78,119,August
78,107,September
74,102,October
73,109,November
65,114,December
62,108,January
62,102,February
62,105,March
58,106,April
58,99,May
58,111,June
97,105,July
78,113,August
78,106,September
74,113,October
71,107,November
63,108,December
60,116,January
60,112,February
60,101,March
53,102,April
53,107,May
53,109,June
113,111,July
97,108,August
97,109,September
93,106,October
81,110,November
71,112,December
67,99,January
67,107,February
67,117,March
49,104,April
49,113,May
49,111,June
97,113,July
78,120,August
78,104,September
74,113,October
72,113,November
64,102,December
61,110,January
61,118,February
61,109,March
55,110,April
55,106,May
55,111,June
97,113,July
78,113,August
78,97,September
74,106,October
72,112,November
65,122,December
61,110,January
61,101,February
61,108,March
56,107,April
56,108,May
56,108,June
97,114,July
78,107,August
78,109,September
74,108,October
72,106,November
64,112,December
61,109,January
61,108,February
61,104,March
56,115,April
56,110,May
56,105,June
97,104,July
78,106,August
39,104,August
39,101,September
35,112,October
31,106,November
30,104,December
30,111,January
30,103,February
30,112,March
28,108,April
28,109,May
28,112,June
399,116,July
273,105,August
273,106,September
268,108,October
291,110,November
264,100,December
253,109,January
253,119,February
253,109,March
232,110,April
232,113,May
232,109,June
619,109,July
376,109,August
376,110,September
372,116,October
378,105,November
367,106,December
364,112,January
364,108,February
364,112,March
528,102,April
528,108,May
528,105,June
619,117,July
376,112,August
376,117,September
372,111,October
376,111,November
366,114,December
362,106,January
362,120,February
362,113,March
523,109,April
523,106,May
523,104,June
399,110,July
273,100,August
273,109,September
268,107,October
288,106,November
265,112,December
254,110,January
254,115,February
254,105,March
232,104,April
232,102,May
232,107,June
619,109,July
376,104,August
376,112,September
372,109,October
376,109,November
366,106,December
364,111,January
364,105,February
27,110,August
27,104,September
23,114,October
19,108,November
19,109,December
19,112,January
19,107,February
19,107,March
15,110,April
15,109,May
15,106,June
92,107,July
71,102,August
71,106,September
66,110,October
65,108,November
57,107,December
52,115,January
52,111,February
52,107,March
45,107,April
45,108,May
45,113,June
92,109,July
71,103,August
71,108,September
66,110,October
65,110,November
58,108,December
54,108,January
54,105,February
54,107,March
50,111,April
50,108,May
50,107,June
112,112,July
94,114,August
94,107,September
90,106,October
77,109,November
66,108,December
61,113,January
61,114,February
61,109,March
46,108,April
46,111,May
46,108,June
112,111,July
94,110,August
94,109,September
90,110,October
75,110,November
66,108,December
60,107,January
60,110,February
60,107,March
45,108,April
45,112,May
45,110,June
112,111,July
94,107,August
94,107,September
90,110,October
77,110,November
66,116,December
59,106,January
59,107,February
59,107,March
42,110,April
42,107,May
42,114,June
112,108,July
94,109,August
94,109,September
90,112,October
74,112,November
65,108,December
60,111,January
60,106,February
60,109,March
43,111,April
43,116,May
43,113,June
92,106,July
71,106,August
71,108,September
66,106,October
66,108,November
57,107,December
54,108,January
54,112,February
54,109,March
49,105,April
49,108,May
49,108,June
92,109,July
71,111,August
71,111,September
66,108,October
64,110,November
56,106,December
52,112,January
52,111,February
52,113,March
45,105,April
45,113,May
45,105,June
92,102,July
71,111,August
71,106,September
66,112,October
65,109,November
58,110,December
55,108,January
55,113,February
55,107,March
51,107,April
51,108,May
51,109,June
112,113,July
29,108,August
29,109,September
25,113,October
21,109,November
20,111,December
20,111,January
20,112,February
20,107,March
19,110,April
19,109,May
19,107,June
111,103,July
93,109,August
93,115,September
89,110,October
77,109,November
68,112,December
63,104,January
63,108,February
63,111,March
44,108,April
44,110,May
44,112,June
94,111,July
73,112,August
73,111,September
69,110,October
66,108,November
58,103,December
55,106,January
55,106,February
55,107,March
51,108,April
51,104,May
51,109,June
94,108,July
73,106,August
73,110,September
69,108,October
66,108,November
59,107,December
55,111,January
55,111,February
55,113,March
50,115,April
50,111,May
50,108,June
94,112,July
73,109,August
73,110,September
69,110,October
65,108,November
58,107,December
55,108,January
55,108,February
55,110,March
50,107,April
50,108,May
50,104,June
94,109,July
73,106,August
73,111,September
69,112,October
66,106,November
58,114,December
55,111,January
55,110,February
55,110,March
51,109,April
51,106,May
51,113,June
94,108,July
73,114,August
73,108,September
69,107,October
66,107,November
59,114,December
55,112,January
55,105,February
55,106,March
50,107,April
50,109,May
50,110,June
94,105,July
73,105,August
73,108,September
69,109,October
67,112,November
58,112,December
54,108,January
54,113,February
54,102,March
48,115,April
48,105,May
48,108,June
94,108,July
73,112,August
73,113,September
69,113,October
66,108,November
58,109,December
55,107,January
55,112,February
55,110,March
51,116,April
51,113,May
51,109,June
94,108,July
73,110,August
73,107,September
69,109,October
66,107,November
58,106,December
55,110,January
55,114,February
55,109,March
50,106,April
50,108,May
50,111,June
94,108,July
27,111,August
27,108,September
24,112,October
20,104,November
19,112,December
29,110,August
29,107,September
25,110,October
21,110,November
20,109,December
20,111,January
20,108,February
20,108,March
19,108,April
19,111,May
19,106,June
109,105,July
34,104,August
34,109,September
30,109,October
26,111,November
26,108,December
26,106,January
26,107,February
26,108,March
23,111,April
23,108,May
23,106,June
97,110,July
75,109,August
75,107,September
71,112,October
68,107,November
60,106,December
57,109,January
57,108,February
57,109,March
54,107,April
54,111,May
54,109,June
97,107,July
75,106,August
75,111,September
71,104,October
69,110,November
61,106,December
57,106,January
57,110,February
57,106,March
55,114,April
55,109,May
55,110,June
118,113,July
93,106,August
93,106,September
89,107,October
82,107,November
71,108,December
65,106,January
65,110,February
65,110,March
49,110,April
49,112,May
49,113,June
97,110,July
75,104,August
75,108,September
71,105,October
69,111,November
61,108,December
57,109,January
57,109,February
57,109,March
56,108,April
56,106,May
56,110,June
97,106,July
75,109,August
75,106,September
71,110,October
68,112,November
61,112,December
58,108,January
58,111,February
58,109,March
57,110,April
57,113,May
57,108,June
97,115,July
75,111,August
75,109,September
71,107,October
67,108,November
59,110,December
57,111,January
57,106,February
57,116,March
54,111,April
54,107,May
54,114,June
97,107,July
75,107,August
75,108,September
71,107,October
69,110,November
61,110,December
58,112,January
58,109,February
58,108,March
56,106,April
56,111,May
56,110,June
97,109,July
75,112,August
75,111,September
71,108,October
68,107,November
61,105,December
58,109,January
58,108,February
58,110,March
57,114,April
57,108,May
57,111,June
97,110,July
75,106,August
75,112,September
71,108,October
68,106,November
61,112,December
57,109,January
57,112,February
57,110,March
55,109,April
55,112,May
55,110,June
97,103,July
22,109,August
22,109,September
19,111,October
15,107,November
14,108,December
14,106,January
14,113,February
14,112,March
12,107,April
12,108,May
12,106,June
87,112,July
67,111,August
67,109,September
63,112,October
59,112,November
52,110,December
48,106,January
48,104,February
48,111,March
45,106,April
45,113,May
45,112,June
87,113,July
67,109,August
67,111,September
63,111,October
59,108,November
52,111,December
48,109,January
48,107,February
48,104,March
46,112,April
46,112,May
46,105,June
87,107,July
67,112,August
67,108,September
63,109,October
58,110,November
52,108,December
49,111,January
49,110,February
49,112,March
47,109,April
47,114,May
47,105,June
87,112,July
67,112,August
67,108,September
63,108,October
59,103,November
52,108,December
48,108,January
48,110,February
48,111,March
46,108,April
46,112,May
46,105,June
87,108,July
67,109,August
67,110,September
63,108,October
57,107,November
50,113,December
47,111,January
47,112,February
47,108,March
43,108,April
43,108,May
43,108,June
87,111,July
67,109,August
67,111,September
63,105,October
59,110,November
51,104,December
47,110,January
47,108,February
47,108,March
43,108,April
43,110,May
43,109,June
104,108,July
86,109,August
86,108,September
82,112,October
72,114,November
62,109,December
56,112,January
56,107,February
56,109,March
37,113,April
37,110,May
37,106,June
87,107,July
67,109,August
67,108,September
63,111,October
59,106,November
52,111,December
49,108,January
49,107,February
49,109,March
46,112,April
46,108,May
46,115,June
104,111,July
86,109,August
86,110,September
82,106,October
73,108,November
63,108,December
58,106,January
58,113,February
58,105,March
40,106,April
40,108,May
40,110,June
104,104,July
28,107,August
28,112,September
24,108,October
20,106,November
20,112,December
20,109,January
20,110,February
20,109,March
17,108,April
17,111,May
17,105,June
94,105,July
71,113,August
71,108,September
67,110,October
63,110,November
56,105,December
52,110,January
52,108,February
52,110,March
49,104,April
49,105,May
49,114,June
94,112,July
71,111,August
71,110,September
67,105,October
64,107,November
57,113,December
53,108,January
53,107,February
53,109,March
50,111,April
50,109,May
50,106,June
112,108,July
93,109,August
93,112,September
89,115,October
79,105,November
69,106,December
62,111,January
62,108,February
62,105,March
44,109,April
44,111,May
44,106,June
94,108,July
71,105,August
71,106,September
67,106,October
64,111,November
56,109,December
53,113,January
53,108,February
53,105,March
49,114,April
49,105,May
49,106,June
94,111,July
71,110,August
71,110,September
67,106,October
65,111,November
56,106,December
52,109,January
52,108,February
52,112,March
49,109,April
49,109,May
49,109,June
112,108,July
93,112,August
30,111,August
30,111,September
26,107,October
22,113,November
22,106,December
22,109,January
22,112,February
22,107,March
20,110,April
20,112,May
20,107,June
96,111,July
76,112,August
76,113,September
71,109,October
68,108,November
60,109,December
57,107,January
57,111,February
57,111,March
53,108,April
53,112,May
53,108,June
96,107,July
76,113,August
76,109,September
71,111,October
68,103,November
60,111,December
57,111,January
57,107,February
57,109,March
52,114,April
52,109,May
52,110,June
96,112,July
76,108,August
76,109,September
71,108,October
67,108,November
60,109,December
57,106,January
57,111,February
57,107,March
52,114,April
52,105,May
52,112,June
96,111,July
76,113,August
76,109,September
71,113,October
69,114,November
60,110,December
57,109,January
57,104,February
57,110,March
52,106,April
52,109,May
52,107,June
96,109,July
76,107,August
76,106,September
71,110,October
68,107,November
59,107,December
56,112,January
56,107,February
56,111,March
51,108,April
51,106,May
51,113,June
96,106,July
76,110,August
76,113,September
71,112,October
69,113,November
62,106,December
57,108,January
57,114,February
57,106,March
53,109,April
53,107,May
53,108,June
96,107,July
76,112,August
76,109,September
71,111,October
68,105,November
60,112,December
56,107,January
56,105,February
56,110,March
52,112,April
52,108,May
52,107,June
96,108,July
76,108,August
76,108,September
71,105,October
68,104,November
59,109,December
55,112,January
55,106,February
55,114,March
49,112,April
49,111,May
49,110,June
96,109,July
76,106,August
76,111,September
71,110,October
69,108,November
60,112,December
56,108,January
56,113,February
56,110,March
51,112,April
51,108,May
51,111,June
96,110,July
37,105,August
37,107,September
33,111,October
29,110,November
29,102,December
29,108,January
29,108,February
29,114,March
26,106,April
26,108,May
26,114,June
100,109,July
83,116,August
83,104,September
79,103,October
74,105,November
67,105,December
63,101,January
63,111,February
63,114,March
58,112,April
58,109,May
58,108,June
100,104,July
83,115,August
83,109,September
79,108,October
74,100,November
67,112,December
62,106,January
62,109,February
62,109,March
56,105,April
56,105,May
56,102,June
100,113,July
83,115,August
83,107,September
79,108,October
75,107,November
66,105,December
63,109,January
63,106,February
63,114,March
57,106,April
57,109,May
57,111,June
100,103,July
83,107,August
83,100,September
79,105,October
74,115,November
66,102,December
62,113,January
62,107,February
62,108,March
56,108,April
56,114,May
56,108,June
120,111,July
98,114,August
98,114,September
94,108,October
84,103,November
74,110,December
69,113,January
69,117,February
69,113,March
54,109,April
54,115,May
54,112,June
120,112,July
98,113,August
98,106,September
94,106,October
84,108,November
73,108,December
68,114,January
68,101,February
68,113,March
50,111,April
50,108,May
50,111,June
100,104,July
83,107,August
83,113,September
79,106,October
75,102,November
67,113,December
63,105,January
63,103,February
63,107,March
58,100,April
58,106,May
58,111,June
100,110,July
83,104,August
83,108,September
79,108,October
74,115,November
67,114,December
63,111,January
63,103,February
63,103,March
56,102,April
56,110,May
56,105,June
100,102,July
83,112,August
83,109,September
79,109,October
73,107,November
66,111,December
62,113,January
62,114,February
62,108,March
55,102,April
55,111,May
55,101,June
120,107,July
43,103,August
43,106,September
39,108,October
35,114,November
35,102,December
35,104,January
35,103,February
35,104,March
30,116,April
30,105,May
30,111,June
101,116,July
86,107,August
86,103,September
82,108,October
79,101,November
71,109,December
68,104,January
68,116,February
68,102,March
58,106,April
58,114,May
58,104,June
101,119,July
86,108,August
86,114,September
82,102,October
80,114,November
72,112,December
69,114,January
69,114,February
43,113,August
43,109,September
39,115,October
42,114,August
42,109,September
38,102,October
34,109,November
34,113,December
34,112,January
34,108,February
34,99,March
32,111,April
32,113,May
32,103,June
102,112,July
79,110,August
79,112,September
75,108,October
70,115,November
62,104,December
59,111,January
59,109,February
59,103,March
40,105,August
40,110,September
36,113,October
32,115,November
32,112,December
32,105,January
32,110,February
32,109,March
29,105,April
29,111,May
29,114,June
106,103,July
84,108,August
84,111,September
80,104,October
77,112,November
70,111,December
67,112,January
67,103,February
67,110,March
64,100,April
64,106,May
64,108,June
106,111,July
84,116,August
84,111,September
80,108,October
77,104,November
69,113,December
66,109,January
66,111,February
66,113,March
61,105,April
61,112,May
61,106,June
106,113,July
84,114,August
84,112,September
80,103,October
78,115,November
70,112,December
66,99,January
66,105,February
66,102,March
62,105,April
62,107,May
62,114,June
106,107,July
84,109,August
84,102,September
80,106,October
77,113,November
69,101,December
65,107,January
65,116,February
65,106,March
60,108,April
60,104,May
60,104,June
106,117,July
84,106,August
84,114,September
80,111,October
78,107,November
69,114,December
66,110,January
66,107,February
66,121,March
63,113,April
63,114,May
63,103,June
106,111,July
84,106,August
84,105,September
80,116,October
77,110,November
70,108,December
67,107,January
67,107,February
67,115,March
64,111,April
64,112,May
64,111,June
106,104,July
84,103,August
84,112,September
80,100,October
77,111,November
69,113,December
66,106,January
66,109,February
66,121,March
62,110,April
62,103,May
62,107,June
106,109,July
84,118,August
84,118,September
80,106,October
77,106,November
69,109,December
66,101,January
66,101,February
66,108,March
63,105,April
63,112,May
63,117,June
106,114,July
84,104,August
84,106,September
80,115,October
77,113,November
69,110,December
65,106,January
65,117,February
65,117,March
60,110,April
60,112,May
60,115,June
106,110,July
36,114,August
36,105,September
32,108,October
28,113,November
28,113,December
28,105,January
28,118,February
28,112,March
24,106,April
24,111,May
24,116,June
98,102,July
80,114,August
80,105,September
76,115,October
73,108,November
66,120,December
63,110,January
63,104,February
63,99,March
55,111,April
55,110,May
55,100,June
98,109,July
80,110,August
80,108,September
76,101,October
74,108,November
67,113,December
64,101,January
64,109,February
64,112,March
58,100,April
58,116,May
58,108,June
98,110,July
80,112,August
80,107,September
76,107,October
73,110,November
66,107,December
62,111,January
62,112,February
62,108,March
54,107,April
54,109,May
54,105,June
98,100,July
80,110,August
80,112,September
76,112,October
73,103,November
66,113,December
62,109,January
62,113,February
62,115,March
55,105,April
55,101,May
55,119,June
98,109,July
80,109,August
80,111,September
76,119,October
74,103,November
67,116,December
63,102,January
63,107,February
63,112,March
55,108,April
55,100,May
55,109,June
98,106,July
80,115,August
80,100,September
76,105,October
74,110,November
66,102,December
63,110,January
63,105,February
63,111,March
57,104,April
57,106,May
57,109,June
98,114,July
80,110,August
80,115,September
76,108,October
72,105,November
65,109,December
62,109,January
62,108,February
62,109,March
54,108,April
54,106,May
54,107,June
98,105,July
80,106,August
80,112,September
76,107,October
74,103,November
66,103,December
63,117,January
63,102,February
63,104,March
56,111,April
56,118,May
56,109,June
98,112,July
80,106,August
80,107,September
76,109,October
74,111,November
66,106,December
63,100,January
63,114,February
63,111,March
57,111,April
57,112,May
57,115,June
98,105,July
38,115,August
